accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2019,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,17,10,30,False,False
2023,2,1,Unclassified,Single carriageway,30,Slip road,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,11 - 15,0,Not car passenger,Other,17,8,26,False,False
2019,2,2,B,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,17,12,11,False,False
2019,2,2,B,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,17,12,11,False,False
2023,5,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,15,5,3,False,False
2023,5,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,15,5,3,False,False
2022,2,1,Unclassified,Single carriageway,20,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Cyclist,8,12,20,False,False
2022,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,6 - 10,0,Not car passenger,Pedestrian,17,1,19,False,True
2020,1,1,Motorway,Roundabout,40,Roundabout,Motorway,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,23,2,18,False,False
2021,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,16 - 20,0,Not car passenger,Pedestrian,22,10,17,False,True
2019,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Motorcycle,15,8,26,False,False
2020,2,1,A,Dual carriageway,40,Roundabout,A,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Cyclist,9,5,19,False,False
2021,1,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,23,6,24,False,False
2020,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,14,8,16,False,False
2020,2,2,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,14,8,16,False,False
2019,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,17,8,6,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,7,1,29,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,36 - 45,0,Front seat passenger,Car occupant,8,1,10,False,False
2021,1,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,56 - 65,1,Not car passenger,Car occupant,4,11,9,False,False
2023,2,1,Motorway,Single carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Trunk (Roads managed by Highways England),Driver or rider,Male,46 - 55,0,Not car passenger,Car occupant,19,2,21,False,False
2020,1,1,Unclassified,Single carriageway,30,Private drive or entrance,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Female,6 - 10,0,Not car passenger,Pedestrian,15,1,12,False,False
2023,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,2,2,18,False,False
2019,3,2,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,7,6,7,False,False
