accident_year,number_of_vehicles,number_of_casualties,first_road_class,road_type,speed_limit,junction_detail,second_road_class,pedestrian_crossing_physical_facilities,light_conditions,urban_or_rural_area,trunk_road_flag,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,car_passenger,casualty_type,Hour,Month,Day,high_winds,pedestrian_in_carriageway
2019,4,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,21 - 25,1,Not car passenger,Motorcycle,22,10,24,False,False
2022,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,18,3,26,False,False
2021,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Large Vehicle,8,9,17,False,False
2021,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Passenger,Male,16 - 20,1,Not car passenger,Other,21,11,12,False,False
2021,1,1,B,Single carriageway,30,Other,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,1,Not car passenger,Large Vehicle,9,11,11,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,26 - 35,1,Front seat passenger,Car occupant,15,2,23,False,False
2020,1,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Pedestrian,Male,46 - 55,0,Not car passenger,Pedestrian,15,8,26,True,False
2020,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,0 - 5,0,Not car passenger,Large Vehicle,18,4,7,False,False
2023,2,3,Motorway,Slip road,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,16,9,8,False,False
2023,2,3,Motorway,Slip road,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,16,9,8,False,False
2023,2,3,Motorway,Slip road,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Passenger,Female,26 - 35,0,Front seat passenger,Car occupant,16,9,8,False,False
2020,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,6,11,2,False,False
2022,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,8,12,15,False,False
2022,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Car occupant,8,12,15,False,False
2019,2,1,A,Single carriageway,30,T or staggered junction,Unclassified,Central refuge,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,66 - 75,1,Not car passenger,Motorcycle,19,10,16,False,False
2022,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,6,11,3,False,False
2021,2,1,Motorway,Dual carriageway,70,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,46 - 55,1,Not car passenger,Car occupant,15,12,11,False,False
2021,1,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness,Urban,Non-trunk,Passenger,Male,26 - 35,1,Front seat passenger,Car occupant,22,4,22,False,False
2022,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Motorcycle,22,6,14,False,False
2022,2,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Trunk (Roads managed by Highways England),Driver or rider,Female,46 - 55,0,Not car passenger,Car occupant,16,8,2,False,False
2022,1,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Pedestrian,Male,66 - 75,1,Not car passenger,Pedestrian,19,7,29,False,False
2021,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,14,12,31,False,False
2021,1,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,14,12,31,False,False
2020,1,1,Unclassified,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Pedestrian,Male,46 - 55,0,Not car passenger,Pedestrian,18,10,17,False,False
2019,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,26 - 35,1,Not car passenger,Pedestrian,17,11,20,False,True
2019,2,1,A,Single carriageway,30,Crossroads,A,Zebra,Daylight,Rural,Non-trunk,Driver or rider,Female,56 - 65,1,Not car passenger,Motorcycle,7,2,27,False,False
2022,4,1,A,Dual carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,1,Not car passenger,Car occupant,10,2,5,False,False
2022,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,16 - 20,1,Not car passenger,Cyclist,14,7,27,False,False
2021,1,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Female,6 - 10,0,Not car passenger,Large Vehicle,11,9,1,False,False
2021,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,0,Not car passenger,Cyclist,17,3,4,False,False
2019,2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,18,10,7,False,False
2019,2,2,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,16 - 20,0,Not car passenger,Car occupant,18,10,7,False,False
2023,2,1,Unclassified,Slip road,40,Crossroads,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Urban,Non-trunk,Passenger,Female,16 - 20,0,Rear seat passenger,Car occupant,20,5,30,False,False
2023,1,1,Unclassified,Dual carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Daylight,Urban,Non-trunk,Pedestrian,Male,26 - 35,1,Not car passenger,Pedestrian,16,2,28,False,True
2019,1,1,Unclassified,Single carriageway,30,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Male,21 - 25,0,Not car passenger,Pedestrian,23,12,7,True,True
2023,2,1,B,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,21 - 25,0,Not car passenger,Car occupant,9,6,16,False,False
2022,2,1,A,Roundabout,40,Roundabout,A,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Passenger,Female,26 - 35,0,Rear seat passenger,Car occupant,19,2,9,False,False
2023,2,1,A,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,8,5,10,False,False
2020,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness,Urban,Non-trunk,Pedestrian,Female,11 - 15,0,Not car passenger,Pedestrian,18,1,31,False,False
2019,1,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Passenger,Male,11 - 15,1,Not car passenger,Other,18,7,9,False,False
2021,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,Zebra,Daylight,Urban,Non-trunk,Pedestrian,Female,66 - 75,1,Not car passenger,Pedestrian,11,5,10,False,False
2019,2,1,A,Dual carriageway,40,Other,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,36 - 45,1,Not car passenger,Cyclist,3,4,28,False,False
2020,1,1,A,Single carriageway,30,T or staggered junction,Unclassified,Pedestrian phase at traffic signal junction,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Car occupant,2,12,31,False,False
2021,2,1,Unclassified,Single carriageway,30,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,66 - 75,0,Not car passenger,Motorcycle,16,6,11,False,False
2020,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,11 - 15,1,Not car passenger,Cyclist,19,5,5,False,False
2019,1,1,A,Single carriageway,60,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Rural,Non-trunk,Pedestrian,Male,16 - 20,1,Not car passenger,Pedestrian,18,1,14,False,True
2022,2,3,Unclassified,Single carriageway,20,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,2,4,False,False
2022,2,3,Unclassified,Single carriageway,20,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,2,4,False,False
2022,2,3,Unclassified,Single carriageway,20,Other,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,12,2,4,False,False
2020,3,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Large Vehicle,21,11,4,False,False
2020,3,2,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Large Vehicle,21,11,4,False,False
2019,2,2,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,16,7,29,False,False
2019,2,2,Unclassified,Single carriageway,20,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,36 - 45,0,Not car passenger,Car occupant,16,7,29,False,False
2021,2,1,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,0,Not car passenger,Car occupant,16,10,5,False,False
2021,1,1,A,Single carriageway,50,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,7,4,9,False,False
2022,2,1,A,Dual carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Male,26 - 35,1,Not car passenger,Motorcycle,12,6,25,False,False
2022,2,1,A,Single carriageway,40,T or staggered junction,Unclassified,No physical crossing facilities within 50 metres,Daylight,Rural,Non-trunk,Driver or rider,Male,46 - 55,0,Not car passenger,Motorcycle,10,2,11,False,False
2020,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,20,3,13,False,False
2020,2,2,Unclassified,Single carriageway,30,Crossroads,Unclassified,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,26 - 35,0,Not car passenger,Car occupant,20,3,13,False,False
2023,2,1,Unclassified,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,36 - 45,0,Not car passenger,Car occupant,12,10,5,False,False
2023,1,1,B,Single carriageway,30,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Pedestrian,Female,36 - 45,1,Not car passenger,Pedestrian,16,12,20,True,False
2019,2,1,Unclassified,Single carriageway,40,Not at junction or within 20 metres,Not at junction or within 20 metres,No physical crossing facilities within 50 metres,Darkness - lights lit,Urban,Non-trunk,Driver or rider,Female,56 - 65,0,Not car passenger,Cyclist,6,1,10,False,False
2021,2,1,A,Single carriageway,30,Crossroads,B,No physical crossing facilities within 50 metres,Daylight,Urban,Non-trunk,Driver or rider,Female,21 - 25,0,Not car passenger,Car occupant,15,10,7,False,False
